dataset,index,source_start,source_end,author_eligible,source_eligible,eligible_gold,budget_5,budget_10,budget_20,budget_30,budget_50,original_10pct_budget,reference_input_sha256
niah_mq_q2,22,137,1317,316,245,42,13,25,49,74,123,32,c1d35b41d483ffe6b2f81cd1984d894f0ba7e38925f9006021d6376563a11f17
niah_mq_q2,23,137,4273,863,800,38,40,80,160,240,400,87,3c3bf8b8922a1cfc322f13595dd448ba5bf7ff778185fe94959f06301e815bf0
niah_mq_q2,24,137,1315,307,242,39,13,25,49,73,121,31,0e23cc74ee973c25725defc3d11edf4b65eff9080dbe0a63b0cf01785f97eb38
niah_mq_q2,25,137,4271,866,801,39,41,81,161,241,401,87,97b1713160a57e7471264e83e98477dd5d69e9b0906be6bb500563bfc433d2a0
niah_mq_q2,26,137,4274,866,801,39,41,81,161,241,401,87,a9b8dfbee58dfca381704bf0599dbab47965c0861296824abc5b727625f886d4
niah_mq_q2,27,137,4273,869,802,40,41,81,161,241,401,87,7c9f0b33dae3521f2ded22d283bd348c8b9428929012aa58ae3214236c26fdfd
niah_mq_q2,28,137,4264,866,801,39,41,81,161,241,401,87,362dca77358cc4030c89d96611b0f59ba073ca52f7b1670c5b9f90b413953f8e
niah_mq_q2,29,137,1307,304,241,38,13,25,49,73,121,31,4d09adb46763bf3905ee240ad932cbed2c5d219f5fe6f17ae5a8d0b811a5ba2e
niah_mq_q2,30,137,1314,310,243,40,13,25,49,73,122,31,30427471e4e47eab7f35cdad64e7a81123960357a0d7c59e412c151e402f83da
niah_mq_q2,31,137,4268,866,801,39,41,81,161,241,401,87,d64b135b72e8787ceb7ef2a73c49a5597becd6bf988387bc631c4844a13d775f
niah_mq_q2,32,137,1316,304,241,38,13,25,49,73,121,31,143f0830241f305676e0dda641913a9b675677d730c477b01980a359c200560e
niah_mq_q2,33,137,4268,866,801,39,41,81,161,241,401,87,afa4daf846edc1006240d822a0f6d432f56bd78de0c868122b3773df196a2b52
niah_mq_q2,34,137,1321,304,241,38,13,25,49,73,121,31,7f68d9703efec8ad715abf8ac319db307ea9bf0be673325163de2ceee31df595
niah_mq_q2,35,137,4276,863,800,38,40,80,160,240,400,87,eb6e14fdfe387495f27acd20b23fec68b66410dee48d9f5926db9289f928ab2d
niah_mq_q2,36,137,1319,316,245,42,13,25,49,74,123,32,681cdcbf228b75c50105014b66f9c080188d13c1174387aa0499517182cb659a
niah_mq_q2,37,137,1321,307,242,39,13,25,49,73,121,31,d8fe1e5502e8b685a8a9764215c2d09c71ccb805d9fc407299da0dff0675c2fa
niah_mq_q2,38,137,4273,869,802,40,41,81,161,241,401,87,86cb4143fadd3d2d82ccd4a37a8dcf1a195a1ae61559687941535b99d71f6062
niah_mq_q2,39,137,1310,307,242,39,13,25,49,73,121,31,11298f608380e258070a72143d3578c6e0ba958ecbad490ed483613e93b193f6
niah_mq_q2,40,137,4273,860,799,37,40,80,160,240,400,86,8567881afed02932a465bc6afa9cd21359c99f02dfe9ae845fbdf4d84e098e9e
niah_mq_q2,41,137,4267,863,800,38,40,80,160,240,400,87,7d0306525056708e22460efc1207e22f3fd78febab3681188325b88f98108c95
niah_mq_q2,42,137,1318,310,243,40,13,25,49,73,122,31,5536081f42d2876f343615cfa38f6fe7a0549484c1670260199b6f8230d20082
niah_mq_q2,43,137,1312,307,242,39,13,25,49,73,121,31,44c8b5fa731b48515d12dbc7ad9157fe6be3a58332e991ebc04a65e5321f7b2a
niah_mq_q2,44,137,1322,313,244,41,13,25,49,74,122,32,b1b3dcf5b11dd4f3710a0f701e8f01ebde614072ae61599ba7da8af1f845ab0d
niah_mq_q2,45,137,1314,310,243,40,13,25,49,73,122,31,122c00caa3528569ef1540079fe6f89e5b8bccfdd64afac99f3040a231d0bd6f
niah_mq_q2,46,137,4264,863,800,38,40,80,160,240,400,87,5b47074a42888f273debce482dff3165f077066284c91aa16392f22b2bdbc279
niah_mq_q2,47,137,4269,866,801,39,41,81,161,241,401,87,89fc725a2ec4281d9f67614c4921a50dc92705c5ef6d00a04b420b361ed5bee1
niah_mq_q2,48,137,4267,872,803,41,41,81,161,241,402,88,4825976481e4660314c6bd16fdbe2b5f8cec29578e9c9363dc14bb43d80dc598
niah_mq_q2,49,137,4265,863,800,38,40,80,160,240,400,87,2335129f81bad0f1506d15334eff12f8f05690cfe744b57cc83347a9205248ca
niah_mq_q2,50,137,1320,316,245,42,13,25,49,74,123,32,25b6c25097661f7c596e9872ce4f6baa69edc7b2e69d3328ac22e8806a22b2a7
niah_mq_q2,51,137,1319,313,244,41,13,25,49,74,122,32,a624fb066c2f61c8e23732c13f9edc2548f379934fd236809d60ccc5f425148b
niah_mq_q2,52,137,4272,866,801,39,41,81,161,241,401,87,e7269355b6863f09d774ab552e05d50a24c1b92dfcdd446557a33c1aa414da77
niah_mq_q2,53,137,4271,866,801,39,41,81,161,241,401,87,1dc653c67714a7b8c8ebdd0a5446f02f2f248108db6f49baab14622ac8003751
niah_mq_q2,54,137,4271,863,800,38,40,80,160,240,400,87,7f55935ee20bc4a535520a283890a8330e25b4cbcd27506aa97fb0819ad33644
niah_mq_q2,55,137,1319,310,243,40,13,25,49,73,122,31,898d73759f4aec6b64f27ca5c94a54681ad159007ef79d47fa3c60fa6f364aa2
niah_mq_q2,56,137,1305,304,241,38,13,25,49,73,121,31,78392b2b7d40bad24668f042d69456a88f372f54a7320174d7c1aaa1a683b76c
niah_mq_q2,57,137,1314,307,242,39,13,25,49,73,121,31,77b26d073e7658cf2f837649048114e14479d860500847d06f3c232fec4cec49
niah_mq_q2,58,137,4270,866,801,39,41,81,161,241,401,87,08110cd425c24cf58ee889bfb51c99fe04a3b330caa072017293412dddd40cfc
niah_mq_q2,59,137,1314,307,242,39,13,25,49,73,121,31,14007147d05f457c01831eb262f34a1a0628b4dc938499a29ad094838bd34680
niah_mq_q2,60,137,1322,319,246,43,13,25,50,74,123,32,275cf45365c6cfcbe1b1dd052c2c849cf0f8de36a4ecdf89e1c1dd73c7579379
niah_mq_q2,61,137,4266,866,801,39,41,81,161,241,401,87,40269ffefbf825624d5972f9986b5e690cb54697638081b3dc179d1097fb68c9
niah_mq_q2,62,137,4285,866,801,39,41,81,161,241,401,87,7b539db14c43775dd56999c64905242ff557131919fdc63aabcaf9c1a25ccec2
niah_mq_q2,63,137,4265,866,801,39,41,81,161,241,401,87,a1f73c46eea37ef0907b3d20f17b405e938b4a6dc3f5dc57b0ee492c27391b16
niah_mq_q2,64,137,1310,307,242,39,13,25,49,73,121,31,e63158a054a5fb33a7989dfd1a3c604caeab7adc1ba3e463b3ba658161dbbc4b
niah_mq_q2,65,137,4272,863,800,38,40,80,160,240,400,87,6d8af03a3b5419131897d44b629ddb9f473c6ab91428efee40882853c32410b2
niah_mq_q2,66,137,1328,322,247,44,13,25,50,75,124,33,f338dcc7506d9f245e642985a5b14aa4e92211f67bccd8f2e1bfb40aa46af941
niah_mq_q2,67,137,1311,307,242,39,13,25,49,73,121,31,34c934893c1ec2d51c10a8107d083a4dd93293f1289b3668d550a7d88a101f0a
niah_mq_q2,68,137,4266,866,801,39,41,81,161,241,401,87,c3ba45bb4ab999ee74b97cc1f151b0467d8ad3c4ba5898f120fc23e8d6d2b423
niah_mq_q2,69,137,1304,307,242,39,13,25,49,73,121,31,fee2be0f72ed299c52b0a58aa44c1e85727632f1aecf0dc320a236b0c4f2330f
niah_mq_q2,70,137,4269,863,800,38,40,80,160,240,400,87,595d2175bc34f1b37ac820388c163b02e8a1302364d2e039cff7d8812a97e93e
niah_mq_q2,71,137,1320,319,246,43,13,25,50,74,123,32,a0b29b6240d7ce2606a2d68771155179b0f287fa5571c7d9a7441d50537d5c38
niah_mq_q2,72,137,4266,869,802,40,41,81,161,241,401,87,2dc03ef2e901294451b2c3efd391f05c4a3d99cf4b23e6021811eb0ad0a78752
niah_mq_q2,73,137,1317,298,239,36,12,24,48,72,120,30,703b1fe3af497cc4b055cf10c874934f0e5262fe521bbc8994c56f9b8293f9b1
niah_mq_q2,74,137,1318,316,245,42,13,25,49,74,123,32,abaf8c391d5b43f054b514b62a25ad906e590ff3cbbe09fe172803a5aa34fcb5
niah_mq_q2,75,137,4268,863,800,38,40,80,160,240,400,87,3316cde99236ded762a3d7ad061f025dbf55c181bcc52b1d2080f9ab574a4b57
niah_mq_q2,76,137,4275,866,801,39,41,81,161,241,401,87,7d6249205d6d863ee663dc8dc2a25ce073b0b97d760ad023cd4777ef1c58de6b
niah_mq_q2,77,137,1313,313,244,41,13,25,49,74,122,32,593750e9e0d2cb6e4c6cffa7afdc084f469e363051ecfb73ab1bbd5922da09c6
niah_mq_q2,78,137,4276,866,801,39,41,81,161,241,401,87,23cf83d09d8b4d3cf08759845768dc219a04b4165e70d48165c9767310d507f7
niah_mq_q2,79,137,4272,866,801,39,41,81,161,241,401,87,f1a9bafb70374beb42099fa116aedb066133e477fa2c539456e2cca3610705ce
niah_mq_q2,80,137,1315,310,243,40,13,25,49,73,122,31,5e85aa0a71e24d94b1c31a8792ee2bf58566129052c7b0593e1a540fdf4cc39c
niah_mq_q2,81,137,1313,307,242,39,13,25,49,73,121,31,2301c5529e895503d49da25e4dde6daca4f9cc3b7bf10615cb33648613c213b0
niah_mq_q2,82,137,1306,304,241,38,13,25,49,73,121,31,f34ff8e2627c53dc6e5663dcb0713c296efff28146ab90b3373252189fef6d80
niah_mq_q2,83,137,1317,310,243,40,13,25,49,73,122,31,248bc29cf714f8ed5c4947bba278e77532c37ea0f86d3189a02a1c4cc22fa191
niah_mq_q2,84,137,4271,863,800,38,40,80,160,240,400,87,ae2bd5e212bffcef1df878405b0712ec664e0b11b5a138876005e5f4b95305a4
niah_mq_q2,85,137,4264,860,799,37,40,80,160,240,400,86,fb3a45b3b6260437942f8a25c19607e559caad7f5dbd9c8d88417e78492f0dbb
niah_mq_q2,86,137,1314,307,242,39,13,25,49,73,121,31,f40cec6ff6df893d169487b9b79f29baa4b13d61df5a43fa94005ab0a4a7c2b5
niah_mq_q2,87,137,4275,860,799,37,40,80,160,240,400,86,949569c9aa8591037068b9e9ab47bab5061f5b37261d9cd2aa1b31d5cea698ec
niah_mq_q2,88,137,4273,860,799,37,40,80,160,240,400,86,a4d5a7996375d5d7076c64629649d6d5e152d1a2918a533ca210e4b1dd3dc966
niah_mq_q2,89,137,1315,310,243,40,13,25,49,73,122,31,9afa7d15a3c693b8d9246b3e879580ac276b6b5cedd04eec1a620754c5ed1ee1
niah_mq_q2,90,137,1308,304,241,38,13,25,49,73,121,31,d2bfa9a64c5f9f8013a1b6ed9f6381c663d47a139c194cfa2302fb3d0bb47bd0
niah_mq_q2,91,137,1320,310,243,40,13,25,49,73,122,31,352a2704111c530ad0ea2a7164df65469e9705966b5c948899be803a0976db1e
niah_mq_q2,92,137,4268,866,801,39,41,81,161,241,401,87,077867872318ec059b71420d1c78ddf19010df7afeb8459eaeeb9f5c7b9e6e5e
niah_mq_q2,93,137,1313,301,240,37,12,24,48,72,120,31,5112715ef3a905e09f79a30fbe297d238297ae88967c49de13b52d0613375d72
niah_mq_q2,94,137,1314,304,241,38,13,25,49,73,121,31,9aa00cc0b049009638a04b49ee6b1d857b91838c87a1e24a168a5629b05fbc49
niah_mq_q2,95,137,1312,313,244,41,13,25,49,74,122,32,cd368406d657e23aa6bea721ee34d366df71e815a61bdc929f5e68c8238b4168
niah_mq_q2,96,137,1315,310,243,40,13,25,49,73,122,31,229e3ee16dc9c5ca46d0a2040d4aec8e31e30e58dbd89824bd7ae566ea37890a
niah_mq_q2,97,137,1309,307,242,39,13,25,49,73,121,31,47e0cb974db6ed3d4b3a205cf08a9fe7ee3d95b20677754672eb2e37bc1dca8f
niah_mq_q2,98,137,4270,872,803,41,41,81,161,241,402,88,9c99380a354d1a2d5ee44dd38593a27b469ed87027b02779914501492130c039
niah_mq_q2,99,137,1314,307,242,39,13,25,49,73,121,31,6a70757bac7d50c50a5e3ec45a8024e67e7819e8ff953b9f9206215ee6107d0c
niah_mq_q4,0,137,4071,856,779,77,39,78,156,234,390,86,8122d95d7d2cc13105a429c5432ddbf938e08325251ba028adf1125215a9b353
niah_mq_q4,1,137,4067,856,779,77,39,78,156,234,390,86,c1fbb25628da8e33fbe6f155189fa0f81bed9756ff089368851f98140051d5e9
niah_mq_q4,2,137,1163,302,219,80,11,22,44,66,110,31,a3af92e4c41602d017d6cffc5875c16c8e03be07753349ba3635ebf1b09dc891
niah_mq_q4,3,137,1159,305,220,81,11,22,44,66,110,31,bd68f3f8f58c631523b48dbc5ff54ce4390cdd3bb7b54b5a3585ec7daa861acd
niah_mq_q4,4,137,1159,299,218,79,11,22,44,66,109,30,03975285113e97653ddbb14c9b60b1bf063bbce4598ad136443212dfba13c672
niah_mq_q4,5,137,4072,856,779,77,39,78,156,234,390,86,d23830a0207cffd892a9dca69dec51a50b86779e5d56a8ca998981b9e0acf2c6
niah_mq_q4,6,137,4069,853,778,76,39,78,156,234,389,86,b0f54ce5816e56b1c1f3d1cafbd6fae510425b54f7f455abf46469d1ada2efc8
niah_mq_q4,7,137,4076,862,781,79,40,79,157,235,391,87,850b02bf12859b9b63d2ea8705b5790a5dcde5a65ac7b9b9353a9773015e9ec8
niah_mq_q4,8,137,4073,859,780,78,39,78,156,234,390,86,fbaf5d576eaab0167726fbef1275368d9482dfb3b9a1eda40405035a04630287
niah_mq_q4,9,137,4072,859,780,78,39,78,156,234,390,86,f59b04f68b9ac732db9ddb88a3a22b0dc0b2897217abd079c999913a4e708478
niah_mq_q4,10,137,4078,862,781,79,40,79,157,235,391,87,e75d9a2457c430dc5d68fc7387c4f54a47421c25f37271205ff3c883cd1f6c84
niah_mq_q4,11,137,4070,856,779,77,39,78,156,234,390,86,5e0aa475b0460adcffdf6e28871b963033b1a468b0dff3c7095768190217f4b8
niah_mq_q4,12,137,1151,302,219,80,11,22,44,66,110,31,4e30f5567bfd9aaf60ab16a561b66a084f09ae3cbcc66130115ff9507b6048b1
niah_mq_q4,13,137,4066,853,778,76,39,78,156,234,389,86,e7b43083c46e924f6ed9bf4a7b847b2e867b1a2c359aaf7f20eface6224b169d
niah_mq_q4,14,137,1155,296,217,78,11,22,44,66,109,30,d497acd5ec67d152099e171bc72014bef4cffac7941d4a67d579df1ab633e024
niah_mq_q4,15,137,1163,302,219,80,11,22,44,66,110,31,5886a70ffc64e6321744af2e516d2df1930a21393506c509d16294a38d63e86f
niah_mq_q4,16,137,4078,856,779,77,39,78,156,234,390,86,217041dd32beebe1c30c7a50d7ee4e4c19c8efa0be6355c0f9a16ce9f6acee7d
niah_mq_q4,17,137,4084,859,780,78,39,78,156,234,390,86,0d15d93ad448a29a293b553c0ffd026cb71c7786fcd85dc87b7429ce7f95d57f
niah_mq_q4,18,137,1160,299,218,79,11,22,44,66,109,30,e658ed6de65fef545f02e9d277ff81b116f684960261a7b3ccb511fd5b1607a5
niah_mq_q4,19,137,1174,296,217,78,11,22,44,66,109,30,7a6c2160c29d8b8ebbf7823fe4c0fc1a058898df98df116f8f7477c5fd34780d
niah_mq_q4,20,137,4068,856,779,77,39,78,156,234,390,86,877c9f49b5788e51942c1b0cce33669363e9eff9412d754a6dca417d46a9d671
niah_mq_q4,21,137,4072,859,780,78,39,78,156,234,390,86,7e113569b5ea2dbb6378ed91b0da1c764bafb7eb53fa2634558830850127cf76
niah_mq_q4,22,137,4074,853,778,76,39,78,156,234,389,86,e1eb76a9c53ea92030c6fc7bb1c928231a3618bd82c44970224403d43f5b05b8
niah_mq_q4,23,137,1167,296,217,78,11,22,44,66,109,30,01b9e31861efc3505e1122c7fa76b51404a5b108b3b7cb649e51997d040b89b0
niah_mq_q4,24,137,4064,859,780,78,39,78,156,234,390,86,e447fdb73b629fa871d6c70349ae453b785f59c503cb0040828ec3998c856378
niah_mq_q4,25,137,4075,850,777,75,39,78,156,234,389,85,be56703279d3485bdb54de893eb8ad985033f6817b6dd1c8fb7b91bff0e6822e
niah_mq_q4,26,137,4088,862,781,79,40,79,157,235,391,87,255adcaea43744775c94f336ba964b782a37fcf229df0bbbeba9dcdb3cc02549
niah_mq_q4,27,137,4074,856,779,77,39,78,156,234,390,86,bd7c0f4ba6be688007d7e1ab7f0fe04c161de9844662ba0f48d09cb2542d1176
niah_mq_q4,28,137,4082,862,781,79,40,79,157,235,391,87,a4dfc2b8747b45498e22cf7d9e20ad0cb6097f2376776098307ae15c76f3bb6e
niah_mq_q4,29,137,1152,293,216,77,11,22,44,65,108,30,7e99f37434d1772ca24fe71381b2f4bdd7978df7f0b4c109fc0bc99447d9020d
niah_mq_q4,30,137,1164,305,220,81,11,22,44,66,110,31,471e52a17968fdae6fb2c23f2f31488798b50147f6e6b285dc4219ae36f5b906
niah_mq_q4,31,137,4077,865,782,80,40,79,157,235,391,87,7580b58c86f19f82ee482c1593889151651d0f3a2ca3bef44c9651e0e1e04677
niah_mq_q4,32,137,1155,299,218,79,11,22,44,66,109,30,2b7be4d14c9000ab7b8d84d09bb4e0508e458dac9709c49faf27d1127f3768b8
niah_mq_q4,33,137,4071,853,778,76,39,78,156,234,389,86,529078adb044c4a452f3e7f64ab3bec05bf9f6eb01578a89e598ab25047f2f89
niah_mq_q4,34,137,4069,859,780,78,39,78,156,234,390,86,f402f92445557a5c4218aff70c71908212a1ad7db0ec2c31d6d533c9c370b28e
niah_mq_q4,35,137,1160,305,220,81,11,22,44,66,110,31,b26fa8bc1db4edc5d08fa245597decc1a2d239cc03a08cdb2a0c26990eda3343
niah_mq_q4,36,137,4085,850,777,75,39,78,156,234,389,85,3ee5016dc269ddc205b625c6cf30a881c58685b2baddeed38bb9f2698a74a81c
niah_mq_q4,37,137,4075,859,780,78,39,78,156,234,390,86,1e0bb522b96253681d2cf64990b2ed2ac4ce2e7921aa83560e646c97d3453fc5
niah_mq_q4,38,137,1154,296,217,78,11,22,44,66,109,30,bf42c5c96a7ec8a47278fd816ce9e1d68088c33179c375f303a020919fb005f4
niah_mq_q4,39,137,1171,296,217,78,11,22,44,66,109,30,05aa1efa0da663737d3e09a31323974f262f674e6ca918c389ea55b3029f162c
niah_mq_q4,40,137,4070,859,780,78,39,78,156,234,390,86,f476b5d2dfa90504b54fbab47eb9517348e9111b48ba7321e2c74ff4724a0820
niah_mq_q4,41,137,4080,868,783,81,40,79,157,235,392,87,b8abe463fca18abb3ba42c605ee6ebac90f39290ec9e738fa1bd775384abbd8d
niah_mq_q4,42,137,1151,299,218,79,11,22,44,66,109,30,526e71491de7d199b60ac3472724d6cd2c092714c41cd17a03dcbff9990ae471
niah_mq_q4,43,137,1151,293,216,77,11,22,44,65,108,30,08b7703a2f492f4d7b44ae7baccd0fb3c68b54b4ff1359972f356807fac1fcf2
niah_mq_q4,44,137,4077,856,779,77,39,78,156,234,390,86,49dc51a9fa57093a829d18f02268eb34c3655be9fd3a871a6e424ba3d06ad01b
niah_mq_q4,45,137,4077,856,779,77,39,78,156,234,390,86,738684266bf813b700083cba83b78325da14a848bb69ff521631f64a5258c6ce
niah_mq_q4,46,137,4084,859,780,78,39,78,156,234,390,86,f4aef188394275e09f74f4a81bcf4a428a73f386c1606b83f49489336c9e0e1b
niah_mq_q4,47,137,4072,856,779,77,39,78,156,234,390,86,cd2613449727e9702a7631b86544bc5f076465ca0dffdd6da257d15a79d31735
niah_mq_q4,48,137,4078,862,781,79,40,79,157,235,391,87,f1d5299ab7fd81ca3da2c9226b3e3a737296ad5928b914d041ff7d5dcc658c62
niah_mq_q4,49,137,1150,308,221,82,12,23,45,67,111,31,8a3174d31eb3434b4affba990ea38e557e0615ef97012f98f5556f5dc31228bf
niah_mq_q4,50,137,4083,859,780,78,39,78,156,234,390,86,3849b5030558bd9811314c45482a413475ede9675fe47b7a83adb7523bc4eb3c
niah_mq_q4,51,137,4062,859,780,78,39,78,156,234,390,86,b5b974203778ae4808d68d8f06f74d6e2ff7c36ffa0a69d0124d24ac83d19760
niah_mq_q4,52,137,1160,305,220,81,11,22,44,66,110,31,68a60360e13507dd01b12644fc53436c7076332cc84530cb290cb1014bc556e3
niah_mq_q4,53,137,1149,296,217,78,11,22,44,66,109,30,44e6034c7f5904c6c46f13eca8538cf1271fc1a8cb07882427d6caf70c53bcf3
niah_mq_q4,54,137,1154,299,218,79,11,22,44,66,109,30,3028c6fdc9e0e75c7c14340d3712e6d6c0de596d596e4e4d76ad83966daa417d
niah_mq_q4,55,137,4082,862,781,79,40,79,157,235,391,87,eb8f57e1c12e309692b1f8070a7983326437d338c113e0f186b7e7b0bb6fdba2
niah_mq_q4,56,137,1154,302,219,80,11,22,44,66,110,31,9a8bba672b84ba8dfb5e3e2d68b7c9bc341853b8fb96cbe72609b6f3d3175b06
niah_mq_q4,57,137,4067,853,778,76,39,78,156,234,389,86,6c0512cdd54cf4928bcd510dd9bde8fb53616fb8f635c5604e244f6627f19a95
niah_mq_q4,58,137,4073,865,782,80,40,79,157,235,391,87,cc39557338fd5a4fc2c5fe47f20b9550d6bfa0899094012951e42d6b6271da8e
niah_mq_q4,59,137,4070,862,781,79,40,79,157,235,391,87,1571250e75f24bba4a3271d278a71b3eef7ddcceb71fae6b5b86842d22de72ae
niah_mq_q4,60,137,4080,862,781,79,40,79,157,235,391,87,1ddd3f450c04f7a258e388195f02d5550655ddb5fc184f6e558a0202991f2926
niah_mq_q4,61,137,4069,862,781,79,40,79,157,235,391,87,0103edc5cba54b3dd1d5b2ac485ce2403bcb9d97c6d53f12a2dbe878117ac35d
niah_mq_q4,62,137,4075,859,780,78,39,78,156,234,390,86,dc627add511c2b0885a8365055411f8bc92d47dafc9bb32cf9fb1e1bbc564a7a
niah_mq_q4,63,137,4072,862,781,79,40,79,157,235,391,87,a47f2c9d77908f69b5dd4094bc6ad253ce3991f2e07cf23ca6ba1cfbc1257415
niah_mq_q4,64,137,4074,862,781,79,40,79,157,235,391,87,bd48f395180e55366a6e364b24452484b93d1a9e7879c28520afb5ac1bc8b9e5
niah_mq_q4,65,137,1156,296,217,78,11,22,44,66,109,30,c4a2da279c5bfdd0ea9eff8e97d6314241058a057dede6c29daffb3ba9404831
niah_mq_q4,66,137,4083,862,781,79,40,79,157,235,391,87,2fde8c1c7208bbd9610d7632b81691613469a6a7773cd69bd7d643c811749906
niah_mq_q4,67,137,4072,865,782,80,40,79,157,235,391,87,7937e053c4ec051dc422604cba15751295b629c827e810509b9cc31b5e869ae1
niah_mq_q4,68,137,1156,299,218,79,11,22,44,66,109,30,eec78ec5cee8e9ff83067837f588c79290d3816f480c64c3b8ebd98a8e9581fc
niah_mq_q4,69,137,4082,862,781,79,40,79,157,235,391,87,61bd114f2b0e99d17c3816a95dd0b1ca3bef7fff4bcba1a2b94400b8ea36a73d
niah_mq_q4,70,137,1152,302,219,80,11,22,44,66,110,31,66f57aa9c5fa63f796d9427d2fd45176ec00c06771cc8ed8e61c80f2edda3b4a
niah_mq_q4,71,137,4075,859,780,78,39,78,156,234,390,86,ba666477039f77843dd5d8438cc7baeae88c09fb3c5aa7871480a5dfc54eb02c
niah_mq_q4,72,137,4073,862,781,79,40,79,157,235,391,87,2824132d9c2bda77f307672722a397c305d61464352919af73da925ad1f6e5be
niah_mq_q4,73,137,4078,859,780,78,39,78,156,234,390,86,de7dc27fad4d9292091bbaca2b41593625088b2cf7b67107f906ea5e788ebd4a
niah_mq_q4,74,137,4074,856,779,77,39,78,156,234,390,86,2360752105d275cda6658c836ce37e7f294f39279068af1f28a755114c34aa5b
niah_mq_q4,75,137,4080,862,781,79,40,79,157,235,391,87,5dda484c6a243e1f84e13b88fd46531f6a157513eb372af779d3707416f98f16
niah_mq_q4,76,137,4076,862,781,79,40,79,157,235,391,87,252a1f5c8d20c157f5b8aac3a17f5a84480689f5248b990a51f4f11847701b49
niah_mq_q4,77,137,4083,871,784,82,40,79,157,236,392,88,416c64b5f8a21ecdda99a900c6a4f819067a23a78c29ecfa178c3481261429b3
niah_mq_q4,78,137,4073,859,780,78,39,78,156,234,390,86,56120f049858e36e214d1c84f2468822f12f9489a4c4fe8a46f9fcc3eaa06613
niah_mq_q4,79,137,4076,865,782,80,40,79,157,235,391,87,67b304765e87d4f5e96a46fa8716984797aef0cc0d3966dd2faa533688116ed2
niah_mq_q4,80,137,1151,302,219,80,11,22,44,66,110,31,f04045831ff406500c5682f036de59285ff7ce917313acab215ab7fd51c6036f
